psu_number,dist_name,hh_number,s03_code,q03_03
4001.0,Taplejung,2.0,112.0,1.0
4001.0,Taplejung,1.0,112.0,0.0
4001.0,Taplejung,3.0,112.0,0.0
4001.0,Taplejung,6.0,112.0,1.0
4001.0,Taplejung,10.0,112.0,0.0
4001.0,Taplejung,7.0,112.0,1.0
4001.0,Taplejung,9.0,112.0,0.0
4001.0,Taplejung,4.0,112.0,1.0
4001.0,Taplejung,5.0,112.0,2.0
4001.0,Taplejung,11.0,112.0,2.0
4001.0,Taplejung,12.0,112.0,1.0
4001.0,Taplejung,8.0,112.0,0.0
4002.0,Sankhuwasabha,7.0,112.0,4.0
4002.0,Sankhuwasabha,2.0,112.0,3.0
4002.0,Sankhuwasabha,9.0,112.0,0.0
4002.0,Sankhuwasabha,8.0,112.0,4.0
4002.0,Sankhuwasabha,10.0,112.0,5.0
4002.0,Sankhuwasabha,1.0,112.0,2.0
4002.0,Sankhuwasabha,12.0,112.0,3.0
4002.0,Sankhuwasabha,6.0,112.0,2.0
4002.0,Sankhuwasabha,4.0,112.0,4.0
4002.0,Sankhuwasabha,11.0,112.0,1.0
4002.0,Sankhuwasabha,5.0,112.0,2.0
4002.0,Sankhuwasabha,3.0,112.0,3.0
4003.0,Sankhuwasabha,7.0,112.0,1.0
4003.0,Sankhuwasabha,12.0,112.0,1.0
4003.0,Sankhuwasabha,8.0,112.0,2.0
4003.0,Sankhuwasabha,6.0,112.0,0.0
4003.0,Sankhuwasabha,2.0,112.0,1.0
4003.0,Sankhuwasabha,4.0,112.0,2.0
4003.0,Sankhuwasabha,5.0,112.0,0.0
4003.0,Sankhuwasabha,9.0,112.0,0.0
4003.0,Sankhuwasabha,10.0,112.0,0.0
4003.0,Sankhuwasabha,3.0,112.0,1.0
4003.0,Sankhuwasabha,11.0,112.0,2.0
4003.0,Sankhuwasabha,1.0,112.0,2.0
4004.0,Solukhumbu,2.0,112.0,2.0
4004.0,Solukhumbu,11.0,112.0,2.0
4004.0,Solukhumbu,9.0,112.0,2.0
4004.0,Solukhumbu,1.0,112.0,0.0
4004.0,Solukhumbu,7.0,112.0,2.0
4004.0,Solukhumbu,5.0,112.0,2.0
